split_depth,n_seq,num_tasks,n_parallel,max_task,mean_task,imbalance,t_ideal,t_dynamic
1,1,2,919441,514906,459720.5,1.1200414164693548,459722,514907
2,3,4,919439,288470,229859.75,1.2549826579033518,459723,466572
3,7,8,919435,161522,114929.375,1.4054022307177778,459725,466574
4,15,16,919427,90295,57464.1875,1.5713264892155658,459729,459994
5,31,32,919411,50350,28731.59375,1.7524262816085516,459737,463034
6,63,64,919379,27991,14365.296875,1.9485152477922598,459753,459930
7,127,128,919315,15516,7182.1484375,2.1603563522840377,459785,459962
8,255,256,919187,8584,3590.57421875,2.3907039590420665,459849,459907
9,511,512,918931,4748,1794.787109375,2.645439102609445,459977,460207
10,1023,1024,918419,2632,896.8935546875,2.9345734354363313,460233,460254
11,2047,2048,917395,1466,447.94677734375,3.2727102284185112,460745,460765
12,4095,4096,915347,822,223.473388671875,3.6782903095765866,461769,461769
